distance_delta,packet_rate_delta,energy_delta,is_capture,is_flooder_attack,is_faker_attack,attack_success
2507,35,3,False,False,False,False
1809,50,9,True,False,False,True
3938,3,2,True,False,False,True
330,138,11,False,True,True,True
2931,151,19,True,False,True,True
4689,109,2,True,False,False,True
2989,6,7,True,False,False,True
3902,68,0,False,False,False,False
4268,16,12,True,False,False,True
2893,52,17,True,False,True,False
2822,152,5,False,True,False,True
1413,163,12,False,True,False,False
151,86,3,False,True,False,True
2538,63,3,True,False,False,True
1578,105,9,False,False,True,False
1,155,19,False,False,True,False
1270,186,8,True,True,True,True
4473,141,1,True,True,False,True
2712,29,19,False,True,True,False
1732,96,10,False,False,False,False
416,179,6,False,True,True,False
1926,191,14,False,True,False,True
736,85,14,False,True,True,True
1870,47,18,True,False,True,True
2261,79,11,True,False,True,False
3652,106,5,True,True,False,True
159,14,19,False,False,True,True
916,14,17,False,False,False,False
1042,35,15,False,False,True,False
2268,101,8,False,False,True,True
2559,93,7,True,True,False,True
2500,78,3,True,True,False,True
1390,20,8,False,False,False,False
2189,5,19,True,False,True,True
4023,199,9,True,True,False,True
680,118,2,True,True,False,True
1806,138,20,False,True,True,False
3689,103,8,True,False,False,True
2369,109,15,True,True,True,True
4447,77,1,True,True,False,True
323,115,20,False,True,True,True
606,149,10,False,True,False,True
3880,15,10,True,False,True,True
3093,31,14,False,False,True,True
3432,131,11,True,True,False,True
876,184,9,False,False,False,False
4887,188,8,True,True,False,True
3686,56,17,True,True,True,True
4478,95,7,True,True,True,True
1947,87,9,True,False,True,True
1079,181,9,False,True,False,True
3596,149,2,True,False,False,True
1030,13,20,False,False,True,True
252,133,4,False,True,False,True
83,178,15,False,True,True,True
514,15,16,False,False,True,True
4495,7,16,True,False,True,True
4809,164,0,True,True,False,True
313,69,19,False,True,True,True
1059,81,9,False,False,True,True
4949,137,19,True,False,True,True
2440,126,2,False,True,False,True
